Time,Duration
26999,747
27746,243
2710,147
15778,847
16625,2582
19207,2091
21298,1268
9185,85
9270,1726
10996,2859
12773,407
9714,35
9749,701
10450,2654
13144,1004
14148,809
14957,1563
16520,20
16540,466
17006,629
17635,993
18628,317
18945,1885
20830,4263
25093,340
25433,819
26252,2433
28685,671
29356,149
29505,1858
18718,5690
24408,476
24884,1528
26412,4179
30591,257
10109,6309
16418,1063
17481,8012
10465,482
10947,3076
15421,157
16047,420
14379,571
14950,5387
20337,1438
21775,231
22006,726
13862,15674
8745,656
5242,111
5353,143
5496,2561
15660,433
20261,238
20499,3084
23583,552
24135,6467
741,154
895,584
1479,1032
2728,754
3482,420
3902,51
3953,99
2663,5816
12095,1175
13503,798
14301,35
14336,1077
15413,1107
16520,2071
18591,4404
22995,2506
5685,2372
9791,2065
15499,909
16408,1550
17958,2750
20708,960
15095,651
15746,3054
18800,2555
21355,2760
3899,4866
8520,2191
10711,284
10995,3584
3790,676
4466,3414
3155,453
3608,856
4049,759
4808,756
5564,407
3524,62
3586,335
4983,217
20261,1640
21901,3736
25637,429
2050,638
12767,92
12859,113
9876,842
11117,67
6061,1798
7859,4844
12703,44
13425,457
17226,517
17743,1135
18878,781
19659,279
19938,1036
20974,648
10481,1659
12140,640
12780,3039
15819,5805
21624,67
21691,5415
27106,155
27261,1362
15569,5399
2875,333
22898,2856
25754,389
5239,516
4941,56
4997,1039
6036,2174
4642,1131
5773,263
6036,1663
7699,3906
11605,10020
21625,5309
8841,187
11725,1252
12977,29
13006,288
13294,69
5010,1296
6306,1672
17712,1638
19350,364
19714,1422
12472,490
12962,134
16583,253
17864,262
19327,4443
11842,596
15230,856
16086,860
16984,862
17846,411
19733,2500
22233,1206
23439,878
24317,322
24639,567
25206,711
25917,590
26507,2300
28807,175
28993,295
28982,11
29288,266
29554,68
29622,948
12811,102
13326,46
13372,231
13669,409
14078,39
12431,665
15230,82
3405,227
3632,333
2190,573
20551,2123
14285,728
19526,4821
3384,1112
4496,743
14411,234
3578,846
4424,68
4492,3486
11856,1387
13243,134
13377,719
14096,1117
15213,3111
18324,1769
20093,145
20312,1788
22100,3941
506,411
917,134
1051,173
1224,2632
3856,337
4193,1841
6034,1444
7478,3953
11431,1213
12644,1270
13914,973
14887,3047
17934,1518
19452,2855
22307,3039
25346,2655
28001,155
24093,175
24268,588
13530,329
5010,270
14919,11011
3858,142
16885,1628
18513,830
19343,2281
21624,820
4052,552
4604,708
5312,464
5776,284
6060,1918
9563,2260
11879,2651
14530,742
15272,1020
16292,788
17080,1644
18724,3613
13530,329
14050,3492
17542,376
17918,16
17934,861
18795,769
19564,822
20386,362
20748,1696
13473,4197
17670,519
18189,1921
20110,1011
21131,186
19096,441
19537,443
27616,1737
29353,300
29653,93
26746,431
23938,831
2217,1382
3599,134
3733,645
4378,584
4962,367
5329,76
4885,724
22401,5461
10320,276
10596,235
2880,5319
18424,499
16210,2024
18234,7133
25367,388
25755,1251
27006,155
15312,10191
25503,2460
2688,192
16479,632
17111,2849
13596,266
5018,213
5231,829
6060,456
6516,718
7234,461
7695,187
7882,2576
10458,2112
12570,154
12724,3430
16154,1557
17711,1442
19153,3815
22968,1925
20519,6277
26977,1221
28198,293
28491,2918
13790,475
16795,186
10663,1963
12626,953
13579,10226
23805,7514
17720,2524
20244,861
6068,179
6247,1557
15081,11492
26573,1562
28135,1193
12095,169
12264,523
12787,29
12816,314
13130,623
13753,2703
16456,3
16459,451
16910,647
17557,226
17783,1428
19211,3779
22990,53
23043,205
23248,1426
28409,369
28778,471
29249,318
19711,2198
21909,963
22872,668
17300,1022
19778,1435
14334,5692
8031,1221
9252,604
9856,497
10353,565
10918,679
11597,428
12025,651
12676,6090
18766,396
19162,5051
24213,2523
26736,588
27324,1949
29273,223
29496,1648
31144,265
11542,98
10043,582
10625,90
10715,598
11313,2743
14056,1385
15441,4735
20176,52
20228,1779
22007,43
22050,262
22312,475
22787,393
23180,111
23291,1002
24293,874
25167,2934
28101,1333
5413,648
6061,1996
8225,1969
10194,550
10744,1604
12348,5474
17822,1498
11635,1572
9983,6251
17631,663
23166,949
24115,408
24523,220
15486,1140
16626,1079
17705,118
17823,1838
20891,531
21422,983
22405,1814
24219,3576
27795,890
28685,258
28943,563
17134,535
17669,455
18124,2356
20480,375
20855,1582
16850,65
23047,119
26073,2488
17310,569
17879,1596
19475,7352
22333,1561
23894,571
10946,121
11349,326
11675,290
11965,378
12343,1434
13777,718
14495,4337
12780,2458
15238,487
15725,613
16338,959
17297,6350
17648,4811
5315,749
6064,1705
7769,121
7890,449
8339,398
8737,592
9329,182
9511,1726
11237,619
11856,2975
14831,2818
17649,1548
19197,6120
25317,2167
27484,655
13502,29
13531,1807
15338,8146
23484,261
23745,1024
24769,1319
26088,1130
27218,705
27923,1042
28965,1050
30015,135
30150,183
30333,428
4929,973
5902,249
6379,1678
9658,599
16432,324
16756,2739
19461,329
20532,128
20917,980
14926,543
15469,1660
17129,904
18033,942
18975,473
19448,1952
21400,1230
22630,65
22695,1692
24387,142
4657,1616
6273,1705
8182,846
9417,371
9788,600
10388,76
10464,1280
13116,4492
17608,1225
18833,2361
21194,3245
24439,1176
25615,662
12802,1718
14384,2425
16809,1953
18762,6118
24880,1217
11838,434
18076,3300
21376,1647
10466,214
10680,1479
12159,49
12208,96
12514,2081
15228,1585
8087,607
9485,644
10129,4731
14860,1497
16357,1426
17783,1222
19005,445
19450,6087
25537,2160
27697,852
28549,2946
5825,211
6036,274
6942,1036
9661,488
10149,189
10338,136
10474,1040
11514,203
11717,331
12048,348
12396,1067
13463,1914
15377,1529
16906,5888
13396,1065
14461,112
14573,4624
19197,2317
21514,4003
25517,1863
27380,1552
4180,702
4882,371
5253,387
5640,519
6159,459
6618,541
7159,79
7238,497
7735,47
7782,344
8126,357
8483,1004
9487,763
10250,858
11108,97
11205,744
11949,166
12115,665
12780,28
12808,1929
14737,1574
16311,1583
17894,1299
19193,927
20120,4855
24975,3188
16210,550
16760,4121
20881,248
21129,340
12773,7
12780,2558
15338,1125
16463,1227
17690,1491
