NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
1,26,Andres,WINDTHORST,3,Archer,1892,15,12,John
0,26,Weinzappel,WINDTHORST,3,Archer,1895,16,14,Henry J.
1,26,Hoffman,BISSELL,4,Armstrong,1893,16,22,Robt. N.
0,26,Vinyard,BISSELL,10,Armstrong,1894,16,12,Geo. S.
0,26,Bagwell,BISSELL,5,Armstrong,1896,16,27,J. C.
1,26,Trice,CLAUDE,6,Armstrong,1888,14,5,Elijah H.
0,26,Welch,CLAUDE,12,Armstrong,1890,15,26,Ed.
0,26,Miller,CLAUDE,5,Armstrong,1891,15,21,Wm. E.
0,26,Bailey,CLAUDE,6,Armstrong,1891,15,23,Hattie
0,26,McCaleb,CLAUDE,7,Armstrong,1893,16,24,Burt C.
0,26,Bates,CLAUDE,1,Armstrong,1897,16,5,Mrs. Buena S.
0,27,Teryman,CLAUDE,9,Armstrong,1897,17,14,Mary B.
0,28,White,CLAUDE,8,Armstrong,1898,17,18,Jas.
1,26,Welch,CORNELIA,10,Armstrong,1891,15,13,Virginia
0,26,Dysart,CORNELIA,9,Armstrong,1893,16,4,Marby P.
1,26,Dyer,GOODNIGHT,11,Armstrong,1888,14,19,Sam
0,26,McLaren,GOODNIGHT,5,Armstrong,1893,16,10,Walter T.
0,26,Moore,GOODNIGHT,1,Armstrong,1895,16,3,Chas. F.
0,26,Timmons,GOODNIGHT,5,Armstrong,1895,16,22,C. A.
0,28,Burns,GOODNIGHT,5,Armstrong,1900,17,1,Condy J.
0,28,Martin,GOODNIGHT,4,Armstrong,1901,18,6,John W.
0,22,Hinsdale,PALO DURO,11,Armstrong,1882,13,17,Chas. M.
0,26,Hinsdale,PALO DURO,8,Armstrong,1889,15,20,Chas. M.
0,26,Campbell,WASHBURN,1,Armstrong,1892,15,20,Ralph M.
0,26,Bishop,WASHBURN,6,Armstrong,1895,16,2,Stephen
0,27,Bishop,WASHBURN,10,Armstrong,1897,17,26,Martha
0,28,Dirr,WASHBURN,5,Armstrong,1899,17,25,Louis
0,28,Deer,WASHBURN,3,Armstrong,1900,17,27,Chas.
1,27,Bradford,WAYSIDE,9,Armstrong,1897,17,15,Henry J.
0,28,McGehee,WAYSIDE,6,Armstrong,1899,17,14,Levina J.
1,25,Hunt,AMPHION,8,Atascosa,1886,14,27,John W.
