Dif,Ratio
-1700,3.0
1909,4.0
-1540,2.0
-1700,1.2857142857142858
-888,0.25
-888,3.0
2009,2.0
2009,2.0
-1770,0.6666666666666666
-1700,5.0
2009,1.0
-888,1.0
-1540,2.0
-1540,3.5
1909,2.3333333333333335
1909,1.8
-230,0.5
-1873,3.0
-1540,2.0
2009,1.0
-1873,3.0
-230,0.5
-888,0.5
-230,3.0
-230,3.0
-595,2.0
-1037,2.3333333333333335
750,2.0
-595,8.0
-595,0.6
-450,2.0
-450,9.0
-427,3.5
-427,10.0
-595,3.5
750,3.5
-450,6.0
-450,1.6666666666666667
-1037,0.6666666666666666
-1037,0.75
24,0.5
1004,1.0
-1037,0.3333333333333333
750,2.0
-427,1.75
-427,3.0
1004,1.0
750,1.25
24,1.6666666666666667
24,1.0
-959,0.5
-959,0.6
1004,1.6666666666666667
-959,3.0
24,2.0
-2512,1.2
3478,1.5
-3376,3.5
-3376,4.333333333333333
-3376,2.0
-3691,3.5
-2512,2.6666666666666665
2881,1.6
-3691,1.4285714285714286
3478,2.3333333333333335
-1224,1.0
3478,1.0
-3376,3.25
-3691,1.0
-3691,2.3333333333333335
2881,2.2
-3938,2.3333333333333335
-268,3.5
-268,3.0
-2512,1.3333333333333333
2881,3.25
-3938,6.0
-3938,4.5
-1224,1.0
-2512,1.6
-3938,5.5
3478,7.0
-1224,1.5
2881,1.6666666666666667
-1224,1.0
-268,3.0
-105,1.6666666666666667
398,1.0
398,1.6666666666666667
661,3.5
-1586,13.0
661,2.0
-52,1.0
-1586,6.0
1718,10.0
746,5.5
661,1.0
1718,1.3333333333333333
398,2.0
1718,1.0
746,6.0
-52,4.0
-105,1.6666666666666667
-1219,5.0
-1586,2.3333333333333335
1718,5.0
661,1.0
746,8.0
-1586,1.0
-1219,6.0
-52,2.0
398,9.0
-105,3.0
746,7.0
-1219,1.3333333333333333
-52,1.5
-1219,1.5
-105,0.5
312,0.3333333333333333
-212,0.5
312,3.0
-259,4.0
-259,5.0
-318,1.0
-318,0.6666666666666666
-259,2.0
