County,ChangeNum,Est,EstNum,Year
Bosque,0,,4,1886
Bosque,0,,1,1888
Bosque,0,,7,1889
Bosque,0,,3,1892
Bosque,0,,8,1893
Bosque,0,,4,1859
Bosque,0,,5,1861
Bosque,0,,5,1866
Bosque,0,,6,1867
Bosque,0,,2,1868
Bosque,0,,4,1870
Bosque,0,,6,1871
Bosque,0,,3,1875
Bosque,0,,2,0
Bosque,0,,6,1885
Bosque,0,,7,1897
Bosque,0,,4,1914
Bosque,0,,2,1920
Bosque,0,,4,1922
Bosque,0,,8,1881
Bosque,0,,1,1909
Bosque,0,,1,1910
Bosque,0,,1,1912
Bosque,0,,3,1916
Bosque,0,,2,1919
Bosque,0,,3,1921
Bosque,0,,3,1924
Bosque,0,,5,1927
Bosque,0,,2,1928
Bosque,0,,3,1929
Bosque,0,,3,1858
Bosque,0,,2,1862
Bosque,0,,3,1890
Bosque,0,,6,1898
Bosque,0,,2,1901
Bosque,0,,4,1902
Bosque,0,,6,1887
Bosque,0,,4,1891
Bosque,0,,3,1894
Bosque,0,,5,1896
Bosque,0,,4,1903
Bosque,0,,2,1906
Bosque,0,,3,1907
Bosque,0,,3,1911
Bosque,0,,1,1857
Bosque,0,,7,1873
Bosque,0,,7,1880
Bosque,0,,1,1915
Bosque,0,,6,1913
Bosque,0,,3,1872
Bosque,0,,2,1923
Bosque,0,,1,1931
Bosque,0,,2,1860
Bosque,0,,3,1864
Bosque,0,,1,1856
Bosque,0,,1,1863
Bosque,0,,5,1900
Bosque,0,,2,1918
Bosque,0,,1,1908
Bosque,0,,1,1895
Bosque,0,,3,1883
Bosque,0,,2,1925
Bosque,0,,2,1930
Bosque,0,,1,1905
Bosque,0,,1,1904
Bowie,0,-,279,-
Bowie,0,,6,1896
Bowie,0,,6,1897
Bowie,0,,9,1898
Bowie,0,,3,1899
Bowie,0,,8,1900
Bowie,0,,1,1865
Bowie,0,,5,1882
Bowie,0,,4,1883
Bowie,0,,8,1894
Bowie,0,,10,1901
Bowie,0,,7,1902
Bowie,0,,3,1912
Bowie,0,,3,1913
Bowie,0,,4,1916
Bowie,0,,4,1917
Bowie,0,,4,1920
Bowie,0,,2,1921
Bowie,0,,5,0
Bowie,0,,5,1846
Bowie,0,,2,1848
Bowie,0,,3,1850
Bowie,0,,1,1852
Bowie,0,,1,1856
Bowie,0,,2,1861
Bowie,0,,2,1864
Bowie,0,,1,1866
Bowie,0,,3,1867
Bowie,0,,1,1868
Bowie,0,,2,1869
Bowie,0,,5,1875
Bowie,0,,3,1876
Bowie,0,,7,1877
Bowie,0,,2,1878
Bowie,0,,6,1884
Bowie,0,,6,1888
Bowie,0,,11,1893
Bowie,0,,5,1911
Bowie,0,,2,1922
Bowie,0,,5,1924
Bowie,0,,2,1931
Bowie,0,,3,1887
Bowie,0,,12,1890
Bowie,0,,6,1907
Bowie,0,,8,1886
Bowie,0,,5,1895
Bowie,0,,4,1923
Bowie,0,,1,1929
Bowie,0,,4,1885
Bowie,0,,4,1905
Bowie,0,,2,1860
Bowie,0,,3,1862
Bowie,0,,2,1925
Bowie,0,,1,1847
Bowie,0,,1,1870
Bowie,0,,2,1880
Bowie,0,,3,1881
Bowie,0,,4,1903
Bowie,0,,1,1908
Bowie,0,,1,1919
Bowie,0,,4,1904
Bowie,0,,3,1909
Bowie,0,,3,1914
Bowie,0,,4,1918
Bowie,0,,2,1927
Bowie,0,,3,1873
Bowie,0,,6,1874
Bowie,0,,1,1932
Bowie,0,,4,1851
Bowie,0,,2,1855
Bowie,0,,1,1857
Bowie,0,,1,1871
Bowie,0,,3,1906
Bowie,0,,1,1879
Bowie,0,,3,1892
Bowie,0,,1,1891
Bowie,0,,1,1915
Brazoria,0,-,317,-
Brazoria,0,,4,1908
Brazoria,0,,4,1881
Brazoria,0,,3,1891
Brazoria,0,,7,1898
Brazoria,0,,7,1903
