County,Num,Year
Borden,1,1924
Borden,2,1891
Borden,1,1894
Borden,1,1901
Borden,1,1916
Borden,1,1892
Borden,1,1898
Borden,1,1910
Bosque,257,-
Bosque,5,1874
Bosque,6,1876
Bosque,8,1877
Bosque,5,1878
Bosque,3,1882
Bosque,4,1884
Bosque,8,1879
Bosque,4,1886
Bosque,1,1888
Bosque,7,1889
Bosque,3,1892
Bosque,8,1893
Bosque,4,1859
Bosque,5,1861
Bosque,5,1866
Bosque,6,1867
Bosque,2,1868
Bosque,4,1870
Bosque,6,1871
Bosque,3,1875
Bosque,2,0
Bosque,6,1885
Bosque,7,1897
Bosque,4,1914
Bosque,2,1920
Bosque,4,1922
Bosque,8,1881
Bosque,1,1909
Bosque,1,1910
Bosque,1,1912
Bosque,3,1916
Bosque,2,1919
Bosque,3,1921
Bosque,3,1924
Bosque,5,1927
Bosque,2,1928
Bosque,3,1929
Bosque,3,1858
Bosque,2,1862
Bosque,3,1890
Bosque,6,1898
Bosque,2,1901
Bosque,4,1902
Bosque,6,1887
Bosque,4,1891
Bosque,3,1894
Bosque,5,1896
Bosque,4,1903
Bosque,2,1906
Bosque,3,1907
Bosque,3,1911
Bosque,1,1857
Bosque,7,1873
Bosque,7,1880
Bosque,1,1915
Bosque,6,1913
Bosque,3,1872
Bosque,2,1923
Bosque,1,1931
Bosque,2,1860
Bosque,3,1864
Bosque,1,1856
Bosque,1,1863
Bosque,5,1900
Bosque,2,1918
Bosque,1,1908
Bosque,1,1895
Bosque,3,1883
Bosque,2,1925
Bosque,2,1930
Bosque,1,1905
Bosque,1,1904
Bowie,279,-
Bowie,6,1896
Bowie,6,1897
Bowie,9,1898
Bowie,3,1899
Bowie,8,1900
Bowie,1,1865
Bowie,5,1882
Bowie,4,1883
Bowie,8,1894
Bowie,10,1901
Bowie,7,1902
Bowie,3,1912
Bowie,3,1913
Bowie,4,1916
Bowie,4,1917
Bowie,4,1920
Bowie,2,1921
Bowie,5,0
Bowie,5,1846
Bowie,2,1848
Bowie,3,1850
Bowie,1,1852
Bowie,1,1856
Bowie,2,1861
Bowie,2,1864
Bowie,1,1866
Bowie,3,1867
Bowie,1,1868
Bowie,2,1869
Bowie,5,1875
Bowie,3,1876
Bowie,7,1877
Bowie,2,1878
Bowie,6,1884
Bowie,6,1888
Bowie,11,1893
Bowie,5,1911
Bowie,2,1922
Bowie,5,1924
Bowie,2,1931
Bowie,3,1887
Bowie,12,1890
Bowie,6,1907
Bowie,8,1886
Bowie,5,1895
Bowie,4,1923
Bowie,1,1929
Bowie,4,1885
Bowie,4,1905
Bowie,2,1860
Bowie,3,1862
Bowie,2,1925
Bowie,1,1847
Bowie,1,1870
Bowie,2,1880
Bowie,3,1881
Bowie,4,1903
Bowie,1,1908
Bowie,1,1919
Bowie,4,1904
Bowie,3,1909
Bowie,3,1914
Bowie,4,1918
Bowie,2,1927
Bowie,3,1873
Bowie,6,1874
Bowie,1,1932
Bowie,4,1851
Bowie,2,1855
Bowie,1,1857
Bowie,1,1871
Bowie,3,1906
Bowie,1,1879
Bowie,3,1892
Bowie,1,1891
Bowie,1,1915
Brazoria,317,-
Brazoria,4,1908
Brazoria,4,1881
Brazoria,3,1891
Brazoria,7,1898
Brazoria,7,1903
Brazoria,7,1913
Brazoria,4,1922
Brazoria,7,1897
Brazoria,3,1902
Brazoria,2,1904
Brazoria,3,1901
Brazoria,7,1910
Brazoria,6,1911
Brazoria,5,1912
Brazoria,5,1915
Brazoria,6,1919
Brazoria,5,1892
Brazoria,2,1907
Brazoria,4,1924
Brazoria,3,1877
Brazoria,7,1890
Brazoria,3,1889
Brazoria,5,1909
Brazoria,6,1916
Brazoria,3,1917
Brazoria,8,1846
Brazoria,4,1850
Brazoria,4,1855
Brazoria,3,1861
Brazoria,1,1863
Brazoria,1,1865
Brazoria,4,1866
Brazoria,3,1867
Brazoria,3,1882
Brazoria,6,1886
Brazoria,8,1894
Brazoria,2,1923
Brazoria,6,1848
Brazoria,3,1852
Brazoria,2,1869
Brazoria,5,0
Brazoria,2,1880
Brazoria,4,1884
Brazoria,6,1899
Brazoria,8,1921
Brazoria,5,1925
Brazoria,2,1928
Brazoria,9,1914
Brazoria,5,1870
Brazoria,7,1871
Brazoria,1,1883
Brazoria,4,1887
Brazoria,4,1893
Brazoria,3,1895
Brazoria,5,1900
Brazoria,3,1905
Brazoria,7,1920
Brazoria,2,1888
Brazoria,3,1854
Brazoria,6,1926
Brazoria,2,1858
Brazoria,4,1862
Brazoria,3,1918
Brazoria,2,1878
Brazoria,3,1876
Brazoria,1,1847
Brazoria,3,1860
Brazoria,2,1864
Brazoria,3,1879
Brazoria,3,1929
Brazoria,3,1927
Brazoria,2,1853
Brazoria,1,1885
Brazoria,1,1874
Brazoria,2,1906
Brazoria,2,1856
Brazoria,2,1857
Brazoria,1,1859
Brazoria,2,1868
Brazoria,1,1872
Brazoria,1,1932
Brazoria,2,1849
Brazoria,1,1851
Brazoria,1,1896
Brazoria,2,1931
Brazos,164,-
Brazos,2,1885
Brazos,3,1886
Brazos,4,1888
Brazos,3,1889
Brazos,7,1893
Brazos,5,1901
Brazos,2,1903
Brazos,6,1904
Brazos,3,1906
Brazos,5,1907
Brazos,2,1908
Brazos,3,1912
Brazos,2,1874
Brazos,2,1846
Brazos,1,1847
Brazos,1,1848
Brazos,2,1850
Brazos,1,1851
Brazos,1,1854
Brazos,2,1861
Brazos,1,1864
Brazos,3,1865
Brazos,5,1866
Brazos,3,1867
Brazos,1,1869
Brazos,3,1871
Brazos,2,1877
Brazos,2,1882
Brazos,5,1890
