"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"220","Hanks","Jas. S.","PLENTITUDE","Anderson",1850,"11","19","Jas",NA,"male"
"221","Mitchell","Pinckney","PLENTITUDE","Anderson",1856,"6","28","Pinckney","male","male"
"222","Brooks","Wm. A.","PLENTITUDE","Anderson",1858,"2","18","Wm",NA,"male"
"223","Quarles","Hamilton G.","PLENTITUDE","Anderson",1859,"2","18","Hamilton","male","male"
"224","Henry","Isaac H.","PLENTITUDE","Anderson",1860,"5","7","Isaac","male","male"
"225","Pinson","Thos. L.","PLENTITUDE","Anderson",1864,"12","21","Thos",NA,"male"
"226","Jones","August R. W.","PLENTITUDE","Anderson",1866,"3","22","August","male","male"
"227","Starr","Jasper","PLENTITUDE","Anderson",1870,"6","17","Jasper","male","male"
"228","Starr","Jasper","PLENTITUDE","Anderson",1875,"7","1","Jasper","male","male"
"229","Davis","John A.","PLENTITUDE","Anderson",1877,"12","10","John","male","male"
"230","Kemp","Francis","PRAIRIE POINT","Anderson",1873,"2","26","Francis","male","male"
"231","Young Jr.","John","PRAIRIE POINT","Anderson",1876,"2","24","John","male","male"
"232","Prewitt","Ira","PREWITT'S TAN YARD","Anderson",1858,"11","2","Ira","male","male"
"233","Prewitt","Ira","PREWITT'S TAN YARD","Anderson",1864,"10","18","Ira","male","male"
"234","Campbell","Jas. I.","PREWITT'S TAN YARD","Anderson",1867,"6","10","Jas",NA,"male"
"235","Rehm","Margaret M.","PRICE","Anderson",1899,"9","5","Margaret","female","female"
"236","Price","Cynthia","PRICE","Anderson",1900,"11","12","Cynthia","female","female"
"237","Stewart","Jas.","ROADVILLE","Anderson",1852,"7","30","Jas",NA,"male"
"238","Lewis","Robt. B.","ROADVILLE","Anderson",1854,"10","18","Robt","male","male"
"239","Wilson","Andrew","ROADVILLE","Anderson",1856,"4","15","Andrew","male","male"
"240","Wilson","Wm. P.","ROADVILLE","Anderson",1857,"12","26","Wm",NA,"male"
"241","Hatton","Jas. M.","ROADVILLE","Anderson",1858,"12","14","Jas",NA,"male"
"242","Butler","Chas. W.","ROADVILLE","Anderson",1859,"10","26","Chas",NA,"male"
"243","Salmon","Marydec","SALMON","Anderson",1902,"7","1","Marydec",NA,"male"
"244","Morehead","John H.","SALMON","Anderson",1911,"3","28","John","male","male"
"245","Smith","Robt. F.","SALMON","Anderson",1911,"12","12","Robt","male","male"
"246","LaRue","Amanda J.","SALMON","Anderson",1915,"2","23","Amanda","female","female"
"247","Smith",". Robt. F.","SALMON","Anderson",1919,"8","30","",NA,"male"
"248","Stewart","Wm.","SAND SPRING","Anderson",1850,"4","15","Wm",NA,"male"
"249","Heidleberg","Paul B.","SAUNDERS","Anderson",1901,"11","16","Paul","male","male"
"250","McDaniel","Edmon T.","SLOCUM","Anderson",1898,"1","4","Edmon","male","male"
"251","Power","Elberto H.","SLOCUM","Anderson",1903,"6","25","Elberto",NA,"male"
"252","Gray","Jas. F.","SLOCUM","Anderson",1904,"11","18","Jas",NA,"male"
"253","Henderson","Geo.","SLOCUM","Anderson",1905,"5","3","Geo","male","male"
"254","Gray","Jas. F.","SLOCUM","Anderson",1911,"8","5","Jas",NA,"male"
"255","Strong","Cora E.","SLOCUM","Anderson",1915,"1","26","Cora","female","female"
"256","Davis","Arion H.","SLOCUM","Anderson",1928,"8","7","Arion","male","male"
"257","Davis","Arion H.","SLOCUM","Anderson",1929,"12","6","Arion","male","male"
"258","Devany","Geo.","STEELBORO","Anderson",1891,"5","6","Geo","male","male"
"259","Gibson","G. W.","STILL'S CREEK","Anderson",1857,"2","28","G","male","male"
"260","Anglin","Valentine S.","STILL'S CREEK","Anderson",1857,"4","16","Valentine","male","male"
"261","Woolverton","John","TENNESSEE COLONY","Anderson",1852,"3","24","John","male","male"
"262","King","Zeb. H.","TENNESSEE COLONY","Anderson",1860,"5","2","Zeb","male","male"
"263","Hefley","G. W.","TENNESSEE COLONY","Anderson",1861,"7","12","G","male","male"
"264","Walker","John","TENNESSEE COLONY","Anderson",1867,"6","10","John","male","male"
"265","Avant","Mason S.","TENNESSEE COLONY","Anderson",1875,"9","22","Mason","male","male"
