ChangeNum,Name,EstNum,Year
1,Bexar,1,1878
5,Bexar,4,1881
1,Bexar,2,1890
3,Bexar,1,1895
1,Bexar,1,1907
1,Bexar,1,1871
6,Bexar,0,1894
2,Bexar,4,1886
1,Bexar,0,1903
1,Bexar,1,1875
5,Bexar,1,1857
3,Bexar,0,1866
0,Bexar,1,1853
2,Bexar,2,1856
3,Bexar,5,1858
4,Bexar,1,1915
0,Bexar,2,1850
3,Bexar,3,1879
4,Bexar,1,1880
4,Bexar,1,1861
4,Bexar,2,1893
6,Bexar,1,1898
3,Bexar,1,1899
1,Bexar,1,1902
2,Bexar,1,1919
2,Bexar,0,1923
0,Bexar,1,1908
2,Bexar,0,1876
0,Bexar,1,1869
0,Bexar,4,1877
1,Bexar,0,1862
2,Bexar,2,1897
2,Bexar,2,1891
2,Bexar,0,1912
2,Bexar,0,1924
3,Bexar,0,1925
3,Bexar,0,1926
3,Bexar,1,1883
1,Bexar,0,1916
0,Bexar,1,1846
1,Bexar,0,1848
1,Bexar,0,1865
1,Bexar,1,1906
2,Bexar,0,1921
1,Bexar,0,1922
0,Bexar,2,1910
0,Bexar,1,1920
1,Bexar,1,1918
0,Bexar,1,1851
0,Blanco,1,1858
90,Blanco,19,-
2,Blanco,0,1859
3,Blanco,0,1861
2,Blanco,0,1862
1,Blanco,0,1864
5,Blanco,0,1866
2,Blanco,0,1873
4,Blanco,0,1879
1,Blanco,0,1889
4,Blanco,1,1893
4,Blanco,0,1897
4,Blanco,0,1907
2,Blanco,0,1913
1,Blanco,0,1901
1,Blanco,1,1918
2,Blanco,1,1922
2,Blanco,0,1923
4,Blanco,0,1930
2,Blanco,1,1882
2,Blanco,1,1890
4,Blanco,1,1874
1,Blanco,0,1910
3,Blanco,0,1900
0,Blanco,1,1886
1,Blanco,0,1917
5,Blanco,0,1925
2,Blanco,1,1878
3,Blanco,0,1880
1,Blanco,0,1891
4,Blanco,0,1908
1,Blanco,0,1912
0,Blanco,2,1898
1,Blanco,0,1904
0,Blanco,1,1892
0,Blanco,1,1899
0,Blanco,1,1884
1,Blanco,0,1870
1,Blanco,0,1871
1,Blanco,2,1876
1,Blanco,0,1877
1,Blanco,0,1896
2,Blanco,0,1911
1,Blanco,0,1919
1,Blanco,2,1872
1,Blanco,0,1875
1,Blanco,0,1883
1,Blanco,0,1887
2,Blanco,0,1905
1,Blanco,0,1906
1,Blanco,0,1921
0,Blanco,1,1867
5,Borden,1,1893
23,Borden,8,-
1,Borden,1,1908
3,Borden,0,1911
1,Borden,0,1912
0,Borden,1,1887
1,Borden,0,1890
1,Borden,1,1902
1,Borden,0,1903
2,Borden,1,1906
1,Borden,0,1921
1,Borden,0,1923
1,Borden,0,1924
1,Borden,1,1891
1,Borden,0,1894
1,Borden,0,1901
0,Borden,1,1916
0,Borden,1,1892
1,Borden,0,1898
1,Borden,0,1910
4,Bosque,1,1874
208,Bosque,49,-
4,Bosque,2,1876
7,Bosque,1,1877
5,Bosque,0,1878
3,Bosque,0,1882
4,Bosque,0,1884
2,Bosque,6,1879
3,Bosque,1,1886
1,Bosque,0,1888
5,Bosque,2,1889
2,Bosque,1,1892
7,Bosque,1,1893
1,Bosque,3,1859
5,Bosque,0,1861
5,Bosque,0,1866
3,Bosque,3,1867
2,Bosque,0,1868
2,Bosque,2,1870
4,Bosque,2,1871
3,Bosque,0,1875
2,Bosque,0,0
5,Bosque,1,1885
7,Bosque,0,1897
4,Bosque,0,1914
2,Bosque,0,1920
4,Bosque,0,1922
7,Bosque,1,1881
1,Bosque,0,1909
1,Bosque,0,1910
1,Bosque,0,1912
2,Bosque,1,1916
2,Bosque,0,1919
3,Bosque,0,1921
