Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
ALLEN,Collin,,,TX,Midwest,South Midwest,1876,,0,Y,TRUE,100,2732171,Allen Post Office,Post Office,Collin,TX,33.1047345,-96.6728399,Y
ALLEN'S CREEK,Austin,,,TX,Midwest,South Midwest,1853,1853,9,Y,TRUE,100,1329401,Allens Creek,Stream,Austin,TX,29.665514,-96.0463468,Y
ALLEN'S GROVE,Grayson,,,TX,Midwest,South Midwest,1848,1849,9,Y,FALSE,,,,,,,,,N
ALLENDALE,Wichita,,,TX,Midwest,South Midwest,1892,1895,7,Y,TRUE,100,1379332,Allendale,Populated Place,Wichita,TX,33.8575981,-98.5936679,Y
ALLENFARM,Brazos,,,TX,Midwest,South Midwest,1885,1948,1,Y,TRUE,100,1351007,Allenfarm,Populated Place,Brazos,TX,30.3993738,-96.2438496,Y
ALLENVILLE,Milam,,,TX,Midwest,South Midwest,1881,1882,8,Y,FALSE,,,,,,,,,N
ALLEY'S MILLS,Marion,,,TX,Midwest,South Midwest,1852,1861,7,Y,FALSE,,,,,,,,,N
ALLEYTON,Colorado,,,TX,Midwest,South Midwest,1860,1958,1,Y,TRUE,100,1329407,Alleyton,Populated Place,Colorado,TX,29.7066234,-96.4863586,Y
ALLIANCE,Hunt,,,TX,Midwest,South Midwest,1886,1904,5,Y,FALSE,,,,,,,,,N
ALLIGATOR,Brazos,,,TX,Midwest,South Midwest,1888,1890,7,Y,FALSE,,,,,,,,,N
ALLISON,Williamson,,,TX,Midwest,South Midwest,1892,1894,7,Y,TRUE,100,1351029,Allison Cemetery,Cemetery,Williamson,TX,30.6949165,-97.3563877,Y
ALLISON,Wheeler,,,TX,Midwest,South Midwest,1929,,0,Y,TRUE,100,2731998,Allison Post Office,Post Office,Wheeler,TX,35.6077628,-100.1001708,Y
ALLISONVILLE,Tyler,,,TX,Midwest,South Midwest,1871,1875,8,Y,FALSE,,,,,,,,,N
ALLRED,Yoakum,,,TX,Midwest,South Midwest,1938,1957,1,Y,TRUE,100,1377925,Allred,Populated Place,Yoakum,TX,32.9862143,-102.8879893,Y
ALMA,Rusk,,,TX,Midwest,South Midwest,1855,1879,3,Y,FALSE,,,,,,,,,N
ALMA,Ellis,,,TX,Midwest,South Midwest,1881,1959,1,Y,TRUE,100,1377926,Alma,Populated Place,Ellis,TX,32.2854238,-96.5460985,Y
ALMEDA,Harris,,,TX,Midwest,South Midwest,1893,1959,1,Y,TRUE,100,2005379,Almeda Elementary School,School,Harris,TX,29.6000148,-95.4192855,Y
ALMEDES,Anderson,,,TX,Midwest,South Midwest,1890,1891,7,Y,FALSE,,,,,,,,,N
ALMIRA,Cass,,,TX,Midwest,South Midwest,1886,1905,5,Y,TRUE,100,1377927,Almira,Populated Place,Cass,TX,33.1001282,-94.4454748,Y
ALMOND GROVE,Red River,,,TX,Midwest,South Midwest,1851,1855,8,Y,FALSE,,,,,,,,,N
ALMONT,Bowie,,,TX,Midwest,South Midwest,1893,1904,5,Y,TRUE,100,1351040,Almont School,School,Bowie,TX,33.5976161,-94.4965941,Y
ALON,Limestone,,,TX,Midwest,South Midwest,1901,1902,6,Y,TRUE,100,2034732,Alon,Populated Place,Limestone,TX,31.498784,-96.3719191,Y
